Дата создания;Текст;Блок;Объект;Тема сообщения;Параметр сообщения;Аспект сообщения;Локация (район);Населенный пункт (город или поселок, не СПб, например, Пушкин, Колпино, Парголово);Название улицы (проспекта, переулка);Тип улицы;Номер дома (без пробелов, вид: 12 или 1к4 или 8стр1 или 11/2 или 23литБ);Адрес объекта - Не править!;Объект в сообщении;ИОГВ;Улицы объекта - Не править!
4.3.22;В прошлом году я обращался к Вам по поводу того, что по адресу пр. Ветеранов 102( окна на речку Новая) старые тополя находятся рядом с окнами и пух от них в большом количестве летит в окна,вызывая у меня аллергию. Так же они нависают над пешеходной дорожкой и могут упасть на людей. Мер пока ни каких не принято. Просьба разобраться.;Благоустройство;Деревья кустарники;Необходимость валки сухих, больных, аварийных деревьев, кустарников;Парки скверы дворы дороги (улицы);Валка сухих, больных, аварийных деревьев, кустарников;Кировский район;;Ветеранов;пр-т;;Ветеранов пр-т;;КБ;Ветеранов пр-т
4.3.22;По лабораторному проспекту вы не хотите пустить автобусы? 4 маршрутки и только у одной нормальная замена, а у остальных то до черной речки, то по кондратьевскому проспекту едят<br>на кондратьевском проспекте и так хватает 2 тралика и 2 автобуса;Транспорт;Маршруты;Добавить новый маршрут, возобновить маршрут общественного транспорта;Добавить;;;;Лабораторный;пр-т;;Лабораторный пр-т;к322 а222 к367 а267 к283 а230;КТ;Лабораторный пр-т
4.3.22;По лабораторному проспекту вы не хотите пустить автобусы? 4 маршрутки и только у одной нормальная замена (К-322 222 автобус), а у остальных то до черной речки (К-367 267 автобус до чёрной речки), то по кондратьевскому проспекту (К-283 230 автобус)<br>едят<br>на кондратьевском проспекте и так хватает 2 тралика и 2 автобуса<br>после тр там будут ещё 3 автобуса, мне кажется этого вполне хватит<br>так что будьте добры 230 автобус пустить по лабораторному проспекту;Транспорт;Маршруты;Добавить новый маршрут, возобновить маршрут общественного транспорта;Добавить;;;;Лабораторный;пр-т;;Лабораторный пр-т;к322 а222 к367 а267 к283 а230;КТ;Лабораторный пр-т
4.3.22;Все! Пропал хороший маршрут! Раньше он был быстрым и дешёвым, теперь подорожает и в час пик все автобусы застрянут на Славе ((((;Транспорт;Маршруты;Добавить новый маршрут, возобновить маршрут общественного транспорта;Добавить;;;;;;;;к82 а282;КТ;
4.3.22;А какая альтернатива маршрутки 193? Или хотя бы верхнего транспорта до метро пионерская?;Транспорт;Маршруты;Отсутствие информирования об изменении, закрытия маршрута общественного транспорта, справочная информация об изменении, закрытии маршрута общественного транспорта;Информирование;Закрытие, изменение;Красногвардейский район;;;;;;м193;КТ;
4.3.22;"Скажите, пожалуйста, что за диковинный маршрут будет проходить по ул. Карпинского и ул. Верности?<br>Ещё осенью на данных улицах были установлены новые остановки (правда в 2-3 метрах от поребрика). Ждать ли, что как только из гор снега появятся эти ""подснежники"", рядом с ними будут ""резвиться"" вернувшиеся ""из спячки"" ""медвежата"" - дорожники? Или нет?";Транспорт;Маршруты;Отсутствие информирования об изменении, закрытия маршрута общественного транспорта, справочная информация об изменении, закрытии маршрута общественного транспорта;Информирование;Закрытие, изменение;Калининский район;;;;;;;КТ;
4.3.22;Согласна с мнением выше. Маршрут был быстрым, сейчас всё застрянет на пр. Славы.<br>Живя на М. Бухарестской улице, использовала его для поездок в детскую поликлинику N 32, другого маршрута туда без пересадки нет. Теперь придётся стоять в пробке.;Транспорт;Маршруты;Добавить новый маршрут, возобновить маршрут общественного транспорта;Добавить;;;;;;;;к82 а282;КТ;
4.3.22;Не хотите продлить 74 до остановки Смольный собор? Почему 136 и 169А едут до этой остановки, а 74 нет?;Транспорт;Маршруты;Изменить маршрут общественного транспорта;Изменить;;;;;;;;136 169а а74;КТ;
4.3.22;До Звёздной вообще никак не доехать. Если убираете коммерческие автобусы, которые едут на Звездную, тогда замените их социальными(чтобы также ехали до Звёздной) Раньше 196 ехал на Звездную. Верните хоть его.;Транспорт;Маршруты;Добавить новый маршрут, возобновить маршрут общественного транспорта;Добавить;;Колпинский район;;;;;;м196;КТ;
4.3.22;"А когда уже будет светофор в красногвардейском районе, у ЕДИНСТВЕННОГО на огромный район пешеходного перехода?! Положили туда ""полицейского"" и теперь и без того по перегруженой дороге до дома вечером все еле ползут, попутно портя единственную асфальтированную дорогу. ЖК ""Цветной город"", дор. Муринская, если что.";Транспорт;Светофоры;Добавить новый светофор;Установить;;Красногвардейский район;;;;;;;КТ;
4.3.22;Огласите весь список где конкретно установят.;Транспорт;Маршруты;Отсутствие информирования об изменении, закрытия маршрута общественного транспорта, справочная информация об изменении, закрытии маршрута общественного транспорта;Информирование;Закрытие, изменение;;;;;;;;КТ;
4.3.22;А велодорожки будут?;Транспорт;Велодорожки;Вопросы по созданию, поддержанию и устранению велодорожек;Создание, поддержание, устранение;;;;;;;;;КТ;
4.3.22;Интересно, когда такие остановки не только в туристическом центре Петербурга сделают?;Благоустройство;Благоустройство;Вопросы граждан о проектах/планах/сроках/ходе проведения работ по благоустройству;Общественные территории;Вопросы по благоустройству;;;;;;;;;
4.3.22;Доброе утро, мне сегодня пришел штраф на автомобиль, нет данных о нарушении, автомобиль стоял на парковке, хотелось бы узнать причину<br>номер постановления 0321695310122030300013345, к кому обратиться?;Транспорт;Парковки;Вопросы по штрафам за незаконную парковку/стоянку;Штрафы;;;;;;;;;КТ;
4.3.22;А переход под ЖД путями когда-нибудь откроют?;Транспорт;Организация дорожного движения;Добавить новый пешеходный переход, обновить разметку пешеходного перехода, обновить знак пешеходного перехода;Переходы;;Калининский район;;;;;;;КТ;
4.3.22;Добрый день!<br>Прошу сообщить в связи с транспортной реформой конкретно где в поселке Песочный и Дибуны будут установлены пункты продажи разовых qr-кодов на проезд, и активизации карты Подорожник?<br>Наши населенные пункты далеко от метро.<br>А с 1 апреля мы не сможем оплатить 315, 259, 497 автобус. С 15 июля 109, 109Б.<br>Я не езжу в город, а пользуюсь только внутри посеока рейсами автобусов. Фактически мне лично негде активизировать Подорожник или купить qr код.<br>А если поездка срочная или экстренная со школьником? (Ученического проездного у него нет, тк школа рядом с домом).<br>Что делать в удаленных от метро посёлках Песочный и Дибуны? Сбегать пешком до ближайшего киоска в город и обратно?;Транспорт;Проезд;Вопросы по оплате проезда в общественном транспорте;Оплата;;;;;;;;а315 а259 а497 а109 109Б;КТ;
4.3.22;На сегодня проезд в метрополитене с оплатой проезда через приложение в смартфоне не возможен? У меня iPhone. Планируется ли внесение изменений в этот способ оплаты: я хотела бы оформить карту петербуржца, но платить за проезд 31 ₽, так как мобильное приложение не работает.;Транспорт;Проезд;Вопросы по оплате проезда в общественном транспорте;Оплата;;;;;;;;;КТ;
4.3.22;"Добрый день!<br>Подскажите, куда писать жалобу на глупые идеи нашего горе губернатора!? Это что за номер - убрать маршрутки и оставить только общественный транспорт??? Это Какого перепугу мне платить 60 рублей, если я по ваське плачу 40 на маршрутке и ездят они чаще и останавливаются там где мне надо.......это что опять ""для народа"" или нашими силами хотим бюджет пополнить?????? Куда писать жалобу на этого......чудика нашего, сколько подписей надо......, подробней пожалуйста, у меня много к нему претензий!!!!";Транспорт;Маршруты;Добавить новый маршрут, возобновить маршрут общественного транспорта;Добавить;;;;;;;;;КТ;
4.3.22;Добрый день.<br>Скажите, пожалуйста, почему на станциях метрополитена воняет химией?;Транспорт;Метро;Санитарное состояние станций метро;Санитарное состояние;;;;;;;;метро;КРТИ;
4.3.22;Доброе утро.Прошу прощения,я понимаю что срок решения ещё не вышел,но можно узнать,на этой неделе я не получу ещё решения по гсп.Очень жду его)Спасибо.;СоцЗащита;ГСП;Вопросы по предоставлению социального контракта;Соцконтракт;Вопросы по предоставлению;Колпинский район;;;;;;;АР;
4.3.22;[club179849289|Комитет по здравоохранению Санкт-Петербурга], здраствуйте , уважаемый комите по здравоохранению прошу вас , взять под контроль 120 поликлинику в 2020 когда я упал с фургона пошел нафиг работай дальше врачи послали , и в этот раз когда пришел мне на руки , не дали на прваления пошел нафиг от футболили короче за шел к этому врачу от него воняло потом годами , не моеться и не давно была операция во вредена 140 тыс , иза этого иза всего , то что меня угробли врачи вот , что у меня , 120 поликлиники , угробили, очень , прошу , вас, все взять , под , контроль, благодарю .❤;Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;Красногвардейский район;;;;;;ПО 120;АР;
4.3.22;Здравствуйте<br>Подавала на пособие с 1.5 -7 на детскую карту ,вчера пришёл ответ,что рассмотрение продлили на месяц ,в связи с чем?<br>47484992 номер заявления<br>Антонова Мария Владимировна<br>Занавеский проспект 24/35 кв 18;СоцЗащита;Детям 1,5-7 лет;Продление сроков рассмотрения заявлений на предоставление пособия детям от 1,5 до 7 лет;1,5-7 лет;Продление сроков рассмотрения;Красногвардейский район;;;;;;;АР;
4.3.22;Здравствуйте! Подавала справку в МФЦ на получение пособия на ребёнка в возрасте до 3 лет по атопическому дерматиту 14.02.2022, дата постановки диагноза 13.01.2022. В справке указано, что дата принятия решения 04.03.2022, однако сегодня пришло сообщение о продление срока ещё на месяц!<br>Вопрос: В связи с чем продлили сроки? Мой ребёнок нуждается в специализированном питании, на которое имеет полное право! Все положенные документы для выплаты этого пособия были предоставлены.<br>Сроком принятия решения по таким заявлениям 14 дней, а не 2 месяца.<br>Прошу разрешить данную ситуацию.<br>Красногвардейский район.<br>Соколенко Вера Евгеньевна, 31.05.1993, номер заявления: 47641209;СоцЗащита;Детям до 3 лет (Путинские пособия);Продление сроков рассмотрения заявлений на предоставление пособия детям до 3 лет;До 3-х лет;Продление сроков рассмотрения;Красногвардейский район;;;;;;;АР;
4.3.22;Здравствуйте!<br>Снова обращаюсь к вам за помощью.<br>Храброва Анна Владимировна 02.11.1983 г.р.<br>09.02.2022 я подала заявление на Ежемесячное пособие женщине, вставшей на учёт в медицинской организации в ранние сроки беременности<br>№ 1766390322<br>Сегодня пришёл отказ в назначении пособия. В В связи с превышением квадратных метров на человека. Отказ не правомерный.<br>Состав нашей семьи 5 человек. Я, муж и трое детей.<br>В собственности у нас квартира общим метражом 73,7 м2, а так же 1/2 квартиры метражом 55,9 м2.<br>Итого общий метраж в собственности у нашей семьи 101,65, что не превышает разрешенные 24м*5=120м.<br>Прошу вас помочь разобраться в этой ситуации!;СоцЗащита;Пособие по беременности;Отказ в предоставлении пособия по беременности;Пособие по беременности (ПФР);Отказы;Красногвардейский район;;;;;;;ПФР;
4.3.22;"Здравствуйте господин Беглов, мое обращение скорее всего к горздраву, но не будет лишним и вам знать что творится в нашей поликлинике. Я больна уже почти месяц, бронхит. В пераой декаде февраля я через кол.центр вызвала врача в начале недели, в субботу на той же неделе мне пришло подтверждение, что мой вызов передан в поликлинику и до сегодняшнего дня я ждала врача. Я обратилась письменно к зав.отделению Мустафиной и меня сегодня приняла наша участковая, врач Поташова, очень хороший доктор. Оказывается, мой вызов вообще не прошол и в поликлинике об этом не знали, наша участковая постоянно работает в "" солнечном городе"" и ее на приеме нет, весь участок раскидывают по другим врачам. И я узнала что это только в нашей поликлинике. Ни в 91 ни в 105 врачей туда не отправляют. Скажите до каких пор именно над нашим участком такое издевательство будет, мы не можем без врача, вот я инвалид 2 гр. И анкологическая больная, а нам не попасть к врачу, как только в нашей поликлинике поменялся главный врач так и начались перемены в худшую сторону, может промто человек не на своем месте? Пожалуйста разберитесь и помогите нам.";Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;Красносельский район;;;;;;ПО 91;АР;
4.3.22;Добрый день. Подавала на пособие с 3-7 ещё в начале сентября. Срок продления уже закончился( может быть я принесу документы на квартиру? Пол года уже прошло(((;СоцЗащита;Детям 3-7 лет;Продление сроков рассмотрения заявлений на предоставление пособия детям от 3 до 7 лет;3-7 лет;Продление сроков рассмотрения;Красносельский район;;;;;;;АР;
4.3.22;Сообщение без текста;СоцЗащита;Детям 3-7 лет;Продление сроков рассмотрения заявлений на предоставление пособия детям от 3 до 7 лет;3-7 лет;Продление сроков рассмотрения;Красносельский район;;;;;;;АР;
4.3.22;Здравствуйте, интересует такой момент почему индексация пособия путинского(ФЗ-418) индексируется только после продления, если в других регионах она проиндексировалась с января 2022 года по 134-ФЗ? У нас Санкт-Петербург это отдельное государство?;СоцЗащита;Детям до 3 лет (Путинские пособия);Прочие вопросы по предоставлению пособия детям до 3 лет;До 3-х лет;Прочее;Красносельский район;;;;;;;ПФР;
4.3.22;Здравствуйте, подскажите пожалуста, подала заявление на продление детского пособия на детскую карту с 1,6 до 7 лет 3 месяца назад.документы собраны в полном объёме. Пришло сообщение о промежуточном решении. В чем может быть причина такого долгого принятия решения? Заявление 47002048 услуга(38).;СоцЗащита;Детям 1,5-7 лет;Продление сроков рассмотрения заявлений на предоставление пособия детям от 1,5 до 7 лет;1,5-7 лет;Продление сроков рассмотрения;Красносельский район;;;;;;;АР;
4.3.22;"Здравствуйте, у меня вопрос Я Кондратьева Елизавета Николаевна 16.09.1996 г.р наблюдаюсь в государственной стоматологии взрослое отделение по адресу ( Пограничника Горькавого 14, Красносельский район).<br>Мне надо в зуб поставить ""пломбу"", средств нет чтобы поставит световую пломбу (на бесплатной основе), врач-стоматолог который меня лечит Блажкова Н.А. в моей ситуации сказала, я только бесплатно могу поставить на бесплатной основе "" Цементную пломбу"" остальные пломбы только на платной основе.<br>Хочу уточнить так ли это?";Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;Красносельский район;;;;;;ПО 28;АР;
4.3.22;Здравствуйте<br>Подскажите пожалуйста эл.почту комиссии по распределению в ДОУ;Образование;Образовательные организации;Зачисление в д/сад;Устройство в ОО;Зачисление в д/сад;Красносельский район;;;;;;;АР;
4.3.22;Добрый день. Обращаюсь к вам снова о распределении своих детей в детские сады. Титова Елизавета Дмитриевна 33014585 и Титов Николай Дмитриевич 42089408 Красносельский район. Стоим на очереди в 91 и 92 детские сады. В том году обещали дать, а в этом снова говорят ждите, мест нет. В 84-ый сад, где мы числимся не принимают с 1,5 лет. А мне нужно выходить на работу. Мне нужен один детский сад, чтобы я могла двоих детей отвести. Я прошу ,чтобы мне дали места для моих детей в 91 или 92 садике, как и обещали ранее.;Образование;Образовательные организации;Зачисление в д/сад;Устройство в ОО;Зачисление в д/сад;Красносельский район;;;;;;;АР;
4.3.22;Доброго дня, Александр Дмитриевич.<br>03.03.22 была на приёме у онколога в 105 поликлинике ТМО 91. Мне выдали заключение врачебной комиссии, который надо подписать у заведующей. Я , как это было в течении 2 лет , всегда подписывала у заведующей протезы , после мастэктомии. Заведующая терапевтическим отделением Миронова Наталья Михайловна была не слишком не дружелюбна, и сказала что я должна, подписать данный документ в поликлинике 50, которая, также относится к ТМО 91.<br>Ответ был оскорбительным, я пришла подписать документ, который оплачивает государство. А получилось очень не вежливо со стороны заведующей. Мироновой Н. М. Прошу разобраться в данной ситуации, подробности, даже не хочу озвучивать.<br>Заранее благодарю.;Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;Красносельский район;;;;;;ПО 105;АР;
4.3.22;Уважаемый Александр Дмитриевич!<br>Прошу разобраться в ситуации. Прекратили выплачивать пособие от 1,5 до 7 лет на ребёнка. Через МФЦ продлила пособие, но к моему сожаление уже второй раз переносят решение о выплате. Не могу понять по какой причине. Петродворцовый район. Так же прошу помощи в решении ситуации, я внеочередник на получения жилья ( т. к. у меня 5 детей) , попала в жилищный план 2020 года, получила предварительный смотровой 28.10.2021, как оказалось там были одни голые стены и по сей день так эти голый стены стоят, хотелось бы узнать как долго ещё ждать пока доделают квартиру находящуюся по адресу Московское шоссе д244, строение 1, кв 326.;СоцЗащита;Детям 1,5-7 лет;Продление сроков рассмотрения заявлений на предоставление пособия детям от 1,5 до 7 лет;1,5-7 лет;Продление сроков рассмотрения;Петродворцовый район;;;;;;;АР;
4.3.22;Ярмарка у Каскада будет ?;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
4.3.22;И все? Сжигать нигде не будут? В Ломоносове у фонтана не будет ничего? А ярмарка будет?;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
4.3.22;Доброй ночи. Простите что пишу поздно. Я очень обеспокоена пропаже инсулина в аптеках города. Моя мама блокадница и сейчас не могу найти в продаже ей инсулин. Мы покупаем его сами. Она когда-то выходя на пенсию отказалась от льгот. Но беспокоит то что и за денежку мы не можем сейчас его купить. Просто нет в аптеках. Я понимаю, что это народ паниковал, и все кто мог разобрали впрок. Но не у всех есть денежки впрок. Уважаемый Александр помогите аптекам, может они, что то не верно делают. Я на вас надеюсь. За ранее благодарю Вас. У нас скоро закончатся инсулин и короткого действия и длинного. Что мне делать с моей мамой. Ведь сами понимаете без инсулина что будет с ней..;Здравоохранение;Лекарственное обеспечение;Отсутствие льготных препаратов и мед.изделий;Отсутствие льготных препаратов и мед.изделий;;;;;;;;;КЗ;
4.3.22;Доброго времени суток. Моей жене удалили щитовидную железу. С тех пор она регулярно принимает таблетки. Сейчас таблетки заканчиваются. Их нет в аптеках. Куда можно обратиться с этим вопросом?;Здравоохранение;Лекарственное обеспечение;Отсутствие льготных препаратов и мед.изделий;Отсутствие льготных препаратов и мед.изделий;;;;;;;;;КЗ;
4.3.22;Здравствуйте, прошу вас разобраться почему в аптеках города Санкт-Петербурга исчез инсулин в шприц-ручках из продажи, мой муж инсулинозависимый и я уже двое суток ищу его в аптеках ,при чем нет никакого, даже наших производителей ,без него он не может жить, что мне делать.?Смотреть как он будет умирать?<br>Ольга;Здравоохранение;Лекарственное обеспечение;Отсутствие льготных препаратов и мед.изделий;Отсутствие льготных препаратов и мед.изделий;;;;;;;;;КЗ;
4.3.22;Добрый день, скажите, пожалуйста, до какого числа продлены меры по дистанционной работе, для людей с хроническими заболеваниями?;Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;;;;;;;;КЗ;
4.3.22;Подскажите пожалуйста, мужа кладут на операцию по глаукоме, законно ли с него требуют данные о прививке от кори. Ему 70 лет.;Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;;;;;;;;КЗ;
4.3.22;А медицинские учреждения открываются?;Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;;;;;;;;КЗ;
4.3.22;Здравствуйте! Скажите пожалуйста, могу ли я вернуть деньги, в сумме 65 тыс. р., потраченные на лекарства для родного человека, находящегося на лечении в больнице Святителя Луки в красной зоне. Я пенсионерка, с большим трудом собрала эти деньги у родных. Если их можно вернуть, то подскажите пожалуйста как? А, теперь ещё и похороны...;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
4.3.22;Прошу при составлении маршрута автомобиля по фиксации нарушений правил парковки заехать по адресу Колпино, оборонная улица дом 8 и дом 10. Постоянно стоят машины на тротуарах. По утрам дети ходят по проезжей части где едут автомобили, которые везут детей в школу. Дороги скользкие. Очень опасно;Транспорт;Парковки;"Транспортные средства припаркованные под знаками ""Остановка запрещена""";Остановка;;Колпинский район;;;;;;;АР;
4.3.22;А куда машины девать почти 400+100? Дворы забиты, улицы тоже. На месте спортплощадки 599школы- стихийная автостоянка. Назревают мордобои за место по всей округе.;Транспорт;Парковки;Создание, поддержание, ликвидация, справочная информация по зонам платных парковок;Плата;;Выборгский район;;;;;;;КТ;
4.3.22;Можно сюда будет заехать! Московский район Орджоникидзе 59 к 2;Не ЦУР;Не ЦУР;Не ЦУР;;;Московский район;;;;;;Парковка на газоне;;
4.3.22;Здравствуйте.<br>Сегодня в 14.00 увезли машину от парадной - Луначарского 44<br>Со слов соседей, лица в гражданской одежде, без сотрудников полиции. Целенаправлено приехали забрать именно мою машину, остальные плотно стоявшие у каждой парадной их не интересовали.<br>На вопрос куда увозят, ответили - в ГАТИ.<br>Звоню в ГАТИ с 14.30 - нет никакой информации по моей машине в этом ведомстве.<br>Вопрос 1:<br>Если это ГАТИ, то на каком основании забрали частную собственность и скрывают (!!!) не только местонахождение, но и информацию по ситуации.<br>Ни уведомления, ни постановления, ни разъяснения.<br>Сейчас 23 часа, никакой информации до сих пор не поступило.<br>Вопрос 2. Куда ехать? На Литейный или на Кирочную? Хочу попасть к начальнику ведомства.<br>Спасибо.;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
4.3.22;Здравствуйте!<br>Прямо сейчас происходит грубое нарушение при земляных работах<br>Тамбовская,12;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
4.3.22;Добрый день! Прошу разъяснить является ли батарея и полотенцесушитель в квартире (установлены застройщиком МКД, дому более 5 лет) общедомовым имуществом и какими нормативным документом это регламентируется. Спасибо.;ЖКХ;Вопросы ЖКХ;Иные вопросы относящиеся к содержанию и эксплуатации МКД, оказанию КУ и вопросам с УК;ЖКХ прочее;Вопросы, не относящиеся ни к одной теме;;;;;;;МКД;ЖК;
4.3.22;А когда откроют вестибюль метро Технологический институт?;Транспорт;Метро;Прочие вопросы по метро;Прочее;;;;;;;;Технологический институт;КРТИ;
4.3.22;Надо напротив каждого остановочного павильона устанавливать камеры видео наблюдения и жёстко немалыми штрафами наказывать любителей их разрисовывать и наклеивать цветные объявления. На Парнасе Выборгского района почти каждый павильон такой, что без слез не взглянешь. Отмывают редко. Почему этого нет в городе? Мы за чистоту и красоту.;Благоустройство;Незаконная реклама;Размещение граффити/надписей/рекламы на объектах благоустройства;Объекты благоустройства;Размещение граффити/надписей/рекламы;Выборгский район;;;;;;;КВЗПБ;
4.3.22;Здравствуйте! Понимаю, что у вас много неотложных дел, но всё-таки ещё раз прошу разобраться в правомерности действий сотрудников ЦЗН Красногвардейского района в отношении моего мужа Резвых Андрея Геннадьевича. Повторяю и настаиваю: он сам не изъявлял желания отказываться от услуг ЦЗН, заявление об отказе он написал по инициативе и под контролем сотрудников Агенства. После того, как они получили нужный им документ, они дали ему две бумажки с инструкциями, в которых он самостоятельно разобраться не может, и отправили домой, не уведомив о дне следующего посещения ЦЗН. Использование электронных сервисов для получения услуг Агенства моему мужу недоступно по состоянию здоровья, а я не имею возможности выполнять функциональные обязанности сотрудника ЦЗН и не должна. Я считаю, что инспекторы ЦЗН: и та, которая не оказала мужу помощь, находясь на своём рабочем месте, и та, которая мне звонила - профнепригодны, потому что выполняют свою работу, как бездушные роботы, но ещё и ленивые.<br>Если ЦЗН не может обучить или трудоустроить человека, пусть так и скажут и справку соответствующую дадут. А то действуют подло и избавляются от сложных клиентов. Если человек не может получать услугу в электронном виде - это не значит, что ему должно быть отказано в её получении, это значит, что ему должны оказывать услугу в той форме, в какой он может её получить!!! А иначе это обман и нарушение прав человека. Люди слабым помогают, а не избавляются от них. А вот чинуши... Им всё до лампочки, главное, что у самих попы в тепле. Извините.;СоцЗащита;Работа ИОГВ;Жалобы на работу ОСЗН АР СПб;ОСЗН;Жалобы;Красногвардейский район;;;;;;;АР;
4.3.22;Уважаемый комитет по тарифам, ответьте пожалуйста на вопрос: сколько денег заложено в тарифе на уборку контейнерных площадок? Кому перечисляются эти деньги, кто ответственный за уборку?;ЖКХ;Начисление платы;Жалобы на начисления субсидий, платы за жилищные, коммунальные услуги, капительный ремонт, пени;Плата за ЖКУ, в том числе субсидии;Вопросы начисления и взимания;;;;;;;МКД;ЖК;
4.3.22;Здравствуйте. Очень интересует вопрос: включена ли в тариф услуга по уборке контейнерных площадок? Если да, то кто получает эти деньги и какая ее стоимость.;ТКО;Региональный оператор;Региональный оператор: Тариф;0;0;;;;;;;Тариф;КПООС;
4.3.22;Сколько денег в тарифе на уборку контейнерных площадок и кто получает эти деньги?;ТКО;Региональный оператор;Региональный оператор: Тариф;0;0;;;;;;;Тариф;КПООС;
4.3.22;[club7459448|Комитет по тарифам Санкт-Петербурга] tarifspb , интересует вопрос. Заклюяая договор с региональным оператором, на последнего не была возложена обязанность по уборке контейнерных площадок. Кто в настоящее время занимается уборкой территории контейнерных площадок? Кто платит исполнителям данной обязанности и из какой статьи расходов? Имеется ли тариф на данную услугу? В СПБ, в основном, территории контейнерных площадок это собственность города, если данная обязанность возложена на управляющие компании или муниципалитеты, выделяются ли указанным организациям из бюджета города соответствующие средства на проведение уборки? И в каком объеме?;ТКО;Контейнерные площадки;Неудовлетворительное содержание (антисанитария, отсутствие уборки/подбора мусора) контейнерной площадки;;Неудовлетворительное содержание;;;;;;;Уборка_КП;КПООС;
